artist_id,firstname,lastname,source
4432,Rew,Hanks,http://www.wattersgallery.com/artists/cvs/CVHanks9.13.pdf
10021,Wendy,Sharpe,http://www.wendysharpe.com/
20706,Yvette,Coppersmith,http://www.yvettecoppersmith.com/cv.html
24860,Yvonne,East,http://www.yvonneeast.com/info.html
24604,Anne-Marie,Zanetti,http://www.zanettiart.com/about
24718,Zoe,Young,http://www.zoeyoung.com.au/about.html
11066,Aida,Tomescu,https://aidatomescu.com/
25071,Anita,West,https://anitawestart.com/curriculum-vitae/
25050,Betra,Fraval,https://betrafraval.weebly.com/about.html
25108,Bronte,Leighton-Dore,https://bronteleightondore.com.au/pagecv
24605,Jack Lanagan,Dunbar,https://files.cargocollective.com/c338759/Jack-Lanagan-Dunbar-CV-current.pdf
25126,Christopher,McVinish,https://gallery-one.com.au/wp-content/uploads/2015/09/Artist-Bio-Christopher-McVinish.pdf
21209,Gina,Kalabishis,https://ginakalabishis.com/p/biography
21276,Harley,Manifold,https://harleym.net/?page_id=1303
20435,Heidi,Yardley,https://heidiyardley.com/page/biography
5915,Ildiko,Kovacs,https://ildikokovacs.com.au/biography
24637,Abdul-Rahman,Abdullah,https://img-cache.oppcdn.com/fixed/9126/assets/m2YMrbzwkdt1_iIF.pdf
21925,Joan,Ross,https://joanross.com.au/CV
24756,Kylie,Elkington,https://kylieelkington.com/Curriculum-Vitae
2903,Marian,Drew,https://mariandrew.com.au/
5718,Martin,King,https://martinking.com.au/works
24118,Matilda,Michell,https://matildamichell.com/biography/
24946,Marc,Etherington,https://michaelreid.com.au/wp-content/uploads/2019/08/Marc-Etherington-CV.pdf?v=6cc98ba2045f
24769,Nadia,Hernandez,https://nadiahernandez.com/pages/curriculum-vitae
24944,Jun,Chen,https://nandahobbs.com/artist/jun-chenk2
24848,Kathrin,Longhurst,https://nandahobbspollen.s3.amazonaws.com/aa5f7c154b4057e90e2726b95732816c.pdf
20559,Neil,Haddon,https://neilhaddon.com.au/about-1/#/pagecv/
24725,Piers,Greville,https://piersgreville.com/About
3486,Prudence,Flint,https://prudenceflint.com/prudence-flint-BIO2019.html
25056,Richard,Knafelc,https://richardknafelc.com/bio-cv-richard-knafelc-artist-contemporary-painter-melbourne-australia
25058,Rick,Matear,https://rickmatear.com/about/
25049,Sharman,Feinberg,https://sharmanfeinberg.com.au/cv/
20801,Sophie,Dunlop,https://sophiedunlop.com/index.php51.htm
2831,Viola,Dominello,https://stelladownerfineart.com.au/sites/default/files/artists/cv/2020-02/Dominello%20CV.pdf
20340,Tim,Silver,https://sullivanstrumpf.com/assets/Uploads/Silver-Tim3.pdf
20246,Nusra Latif,Qureshi,https://suttongallery.com.au/wp-content/uploads/2017/12/nusra-latif-qureshi-cv-2019.pdf
20405,Alan,Jones,https://www.alanjonesonline.com/cv/
24797,Annie,O'Rourke,https://www.annieorourkeart.com/about-1
1461,Timothy,Burns,https://www.bettgallery.com.au/artists/burns/tim_burns_cv.pdf
24876,Robert,O'Connor,https://www.bettgallery.com.au/artists/oconnor/rob-oconnor-cv2019.pdf
20090,Maria,Kontis,"https://www.darrenknightgallery.com/artists/kontis/biography/
<br />http://www.unisa.edu.au/samstag/framessc.htm"
25053,David,Hoyt,https://www.davidhoyt.net/about
25057,Debbie,Mackenzie,https://www.debbiemackenzieartist.com/about
